vault_id,id,title,description,filename,type,src_url,date
1,2724314,"XCOM: Battlefield Romance","I'm a big XCOM fan, and after seeing that snakemen (or snakewomen, according to the trailers) are making a return in the newest game, I couldn't help but try my hand at what is quickly becoming a tired joke. Oh well, forgive me, I couldn't help myself!<p><br></p><p>And for the record, no, this is not normal alien behavior. DO NOT approach hostile aliens expecting affection.<br></p>",Untitled,image_file,https://www.patreon.com/posts/xcom-battlefield-2724314,2015-06-22T02:14:16.000+00:00
2,2923835,"Crow 'n Gator","I was asked to draw a crow-like Tengu from the game Pathfinder, along with his little dwarf caiman familiar. So I did!<br>",crow.png,image_file,https://www.patreon.com/posts/crow-n-gator-2923835,2015-07-30T17:44:06.000+00:00
3,3030858,"Jackalope in Hawaiian Shirt","Because why not? :)<br>",jackalope.png,image_file,https://www.patreon.com/posts/jackalope-in-3030858,2015-07-31T01:59:35.000+00:00
4,3246488,Dragonborn,"A red and silver dragonborn, from D&amp;D.<br>",dragonborn.jpg,image_file,https://www.patreon.com/posts/dragonborn-3246488,2015-08-27T23:49:54.000+00:00
5,3248061,"Wut Wut","Cabbit Butt<p><br></p><p>I loved Tenchi Muyo back in the day. It was one of my first real experiences with anime outside of Dragon Ball Z, and the first ""harem"" style show. Still have the mangas on a bookshelf somewhere.<br></p>",ryo_ohki.jpg,image_file,https://www.patreon.com/posts/wut-wut-3248061,2015-08-28T15:54:12.000+00:00
6,3343064,"Practice 1","Just a random speed drawing for practice. Didn't come at it with any kind of plan in mind.<br>",speedpractice.png,image_file,https://www.patreon.com/posts/practice-1-3343064,2015-09-30T19:52:04.000+00:00
7,3507642,"Fur Reality","Back when I was at Cincinnati Comic Expo, I met some nice people from <a href=""http://ringtailcafe.com/"" rel=""nofollow noopener"" target=""_blank"">http://ringtailcafe.com/</a> who also had a table there. They were hosting their own convention in Cincinnati. I'm not sure if I'd have the time to attend, but I thought their event mascot (?) was cool looking, so I made a quick doodle of it.<br>",furreality.png,image_file,https://www.patreon.com/posts/fur-reality-3507642,2015-10-01T14:25:17.000+00:00
8,3507650,Yooka-Femlee,"Yooka-Laylee is a spiritual successor to the old 3D platformer, Banjo-Kazooie. The chameleon is normally male...",yooka-laylee.jpg,image_file,https://www.patreon.com/posts/yooka-femlee-3507650,2015-10-14T19:43:40.000+00:00
9,3606216,Bun-Buns,"Bunnies are cute! These ones are from Undertale!<br>",Untitled,image_file,https://www.patreon.com/posts/bun-buns-3606216,2015-11-18T04:30:53.000+00:00
10,3773256,"Dust and Fidget","From the game Dust: An Elysian tail.<br><p>Not exactly sure what Fidget is saying to Dust, but I'm sure you can fill in the blanks.<br></p>",dustandfidget.png,image_file,https://www.patreon.com/posts/dust-and-fidget-3773256,2016-02-01T18:36:14.000+00:00
