meta,0
digital_media_(artwork),3955
adobe_photoshop_(artwork),3552
sketch,3341
hi_res,3246
monochrome,3140
english_text,2578
blue_and_white,1495
colored,1177
7:4,977
comic,857
url,531
2025,493
spot_color,475
2019,419
2022,418
2023,411
2020,405
2018,403
2024,396
2021,394
digital_drawing_(artwork),354
2017,340
widescreen,174
16:10,156
absurd_res,141
restricted_palette,134
shaded,131
portrait,113
traditional_media_(artwork),110
2016,100
censored,88
graphite_(artwork),82
colored_line_art,73
model_sheet,70
2015,66
3:4,66
1:1,62
2014,50
alternate_version_at_source,48
2026,47
signature,47
full-length_portrait,43
three-quarter_portrait,40
meme,39
crossover,38
greyscale,36
2013,35
lighting,33
sketchbook_(artwork),32
colored_sketch,32
black_and_white,29
2010,28
2008,26
2009,25
detailed,24
dakimakura_design,23
2:3,23
partially_colored,21
2007,20
animated,20
4:3,20
alpha_channel,20
short_playtime,19
wallpaper,17
pictographics,17
16:9,17
2006,16
half-length_portrait,16
2011,16
pinup,15
multiple_scenes,15
low_res,15
2012,14
color_edit,13
handwritten_text,13
2005,12
3:2,12
simple_shading,11
grandfathered_content,11
english_description,11
multiple_images,9
story,9
line_art,9
blue_theme,9
long_image,9
story_in_description,8
2d_animation,8
cel_shading,7
bust_portrait,7
wide_image,7
lol_comments,7
unfinished,7
cover_page,6
cover_art,6
cover,6
cool_colors,6
character_request,6
sequence,6
5:4,6
headshot_portrait,5
3:5,5
frame_by_frame,5
translated,5
5:3,5
6:5,5
guide_lines,4
hatching_(art),4
animated_comic,4
2:1,4
letterbox,4
1:2,4
color_contrast,4
thumbnail,3
photography_(artwork),3
picture_in_picture,3
reaction_image,3
russian_text,3
shaded_line_art,3
deviantart_muro_(artwork),3
9:16,3
black_and_blue,3
artist_collaboration,3
2_frame_animation,3
better_version_at_source,3
pillarbox,2
artist_name,2
milestone_celebration,2
compression_artifacts,2
credits,2
redraw,2
red_and_white,2
dated,2
tall_image,2
character_name,2
sketch_page,2
inspired_by_formal_art,2
4k,2
mixed_media,2
pen_(artwork),2
2koma,2
green_and_white,2
5:8,2
watermark,2
japanese_text,2
smaller_version_at_source,1
soft_shading,1
spanish_text,1
6:13,1
2003,1
adobe_animate_(artwork),1
subtle_animation,1
4:5,1
textless,1
warm_colors,1
marker_(artwork),1
broken_english,1
brown_and_white,1
mosaic_censorship,1
motion_tweening,1
huge_filesize,1
no_sound,1
oekaki,1
german_text,1
french_text,1
flat_colors,1
flash,1
e621_post_recursion,1
14:9,1
purple_and_white,1
reference_image,1
cropped,1
colored_pencil_(artwork),1
character_badge_(artwork),1
sign_language,1
11:8,1
